Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Jerel McNeal,PHO,6.0,0.0,6.0,0.273,0.5,0.222,0.318,1.0,0.5,0.3,0.5,0.2,1.5,1.2,0.379,9.2,4.6,7.8,4.2,2.1,20.6,-0.2,0.1,-9.1,-0.1,-0.1,-0.149,0.0,.476,10,2015
Jeremy Evans,UTA,38.0,0.0,7.0,0.552,0.4,0.566,0.569,0.828,1.9,0.3,0.3,0.3,2.4,20.5,0.636,19.4,15.4,7.9,2.2,3.6,13.1,0.9,0.4,4.2,0.4,1.3,0.241,0.0,.463,11,2015
Jeremy Lamb,OKC,47.0,8.0,13.5,0.416,0.342,0.475,0.492,0.891,2.3,0.9,0.4,0.1,6.3,14.9,0.538,16.5,9.1,10.9,1.7,0.7,20.5,1.0,0.7,1.6,0.6,1.6,0.123,0.0,.549,8,2015
Jeremy Lin,LAL,74.0,30.0,25.8,0.424,0.369,0.444,0.473,0.795,2.6,4.6,1.1,0.4,11.2,15.6,0.539,10.2,5.7,28.6,2.2,1.4,21.9,1.8,0.8,-0.4,0.8,2.7,0.068,0.0,.256,14,2015
Jerome Jordan,BRK,44.0,0.0,8.7,0.532,0.0,0.532,0.532,0.864,2.4,0.3,0.2,0.3,3.1,16.8,0.609,15.5,15.4,5.3,1.1,3.1,16.1,0.9,0.3,-1.2,0.1,1.2,0.156,0.0,.463,8,2015
Jerrelle Benimon,UTA,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,4.7,0.0,76.6,57.8,0.0,0.0,0.0,15.3,0.0,0.0,-13.0,0.0,0.0,-0.215,0.0,.463,11,2015
Jerryd Bayless,MIL,77.0,4.0,22.3,0.426,0.308,0.462,0.462,0.883,2.7,3.0,0.8,0.2,7.8,11.1,0.519,12.5,7.0,21.0,1.8,0.6,18.6,0.3,2.0,-2.1,0.0,2.4,0.066,0.0,.500,6,2015
Jimmer Fredette,NOP,50.0,0.0,10.2,0.38,0.188,0.458,0.407,0.956,0.8,1.2,0.3,0.0,3.6,9.8,0.479,7.1,4.5,17.2,1.5,0.3,19.6,0.0,0.2,-4.7,-0.4,0.2,0.021,0.0,.549,9,2015
Jimmy Butler,CHI,65.0,65.0,38.7,0.462,0.378,0.484,0.502,0.834,5.8,3.3,1.8,0.6,20.0,21.3,0.583,11.2,8.2,14.4,2.3,1.0,21.6,8.2,3.0,4.6,4.2,11.2,0.214,0.0,.610,3,2015
Joakim Noah,CHI,67.0,67.0,30.6,0.445,0.0,0.447,0.445,0.603,9.6,4.7,0.7,1.1,7.2,15.3,0.482,22.1,17.1,23.0,1.2,2.6,13.7,2.4,3.1,2.1,2.1,5.6,0.13,0.0,.610,3,2015
